ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1110,1110,S1,S1_2,18 FT,4000,23
1110,1110,S1,S1_2,18 FT,4003,30
1110,1110,S1,S1,32 MA,400024,3
1110,1110,S1,S1,32 MA,400054,2
1110,1110,S1,S1_1,32 MA,400063,1
1110,1110,S2,S2_1,32 MA,4001,10
1110,1110,S2,S2,18 FT,400047,6
1110,1110,N2,N2,32 MA,400044,1
1110,1110,N1,N1,32 MA,400057,3
1110,1110,E2,E2,32 MA,400062,1
1110,1110,E2,E2,32 MA,400307,1
1110,1110,W1,W1_1,32 MA,400241,1
1110,1110,W1,W1_1,32 MA,400341,1
1120,1120,S4,S4_1,18 FT,4000,3
1120,1120,S4,S4_1,18 FT,4001,5
1120,1120,S4,S4_1,18 FT,4003,8
1120,1120,S4,S4_1,18 FT,400024,6
1120,1120,S4,S4_1,18 FT,400047,3
1120,1120,S4,S4_1,18 FT,400054,3
1120,1120,S4,S4_1,18 FT,400063,1
1120,1120,S4,S4,32 MA,400310,4
1120,1120,N7,N7,32 SA,400041,1
1120,1120,N7,N7,32 SA,400044,4
1120,1120,N7,N7,32 SA,400045,3
1120,1120,N7,N7,32 SA,400051,1
1120,1120,N7,N7,32 SA,400083,1
1120,1120,N7,N7,32 SA,400151,2
1120,1120,N7,N7,32 SA,400206,3
1120,1120,N7,N7,32 SA,400347,3
1120,1120,N7,N7,32 MA,400045,1
1120,1120,N7,N7,32 MA,400051,2
1120,1120,N7,N7,32 MA,400057,1
1120,1120,N7,N7,32 MA,400083,1
1120,1120,W5,W5,32 SA,400042,2
1120,1120,W5,W5,32 SA,400329,1
1120,1120,W5,W5,32 MA,400329,1
1120,1120,E5,E5,32 MA,400062,1
1120,1120,E5,E5,32 MA,400181,1
1130,1130,S5,S5_1,32 MA,4000,2
1130,1130,S5,S5_1,32 MA,4003,14
1130,1130,S5,S5_1,32 MA,400071,5
1130,1130,S5,S5_1,32 MA,400196,2
1130,1130,S5,S5_2,18 FT,4001,3
1130,1130,W6,W6,32 MA,104687,3
1130,1130,E6,E6,32 MA,400181,5
1140,1140,S1,S1_2,32 MA,4000,12
1140,1140,S1,S1_2,32 MA,4003,4
1140,1140,S1,S1,32 MA,400031,1
1140,1140,S1,S1_1,32 MA,400271,1
1140,1140,S1,S1_1,32 MA,400316,5
1140,1140,S2,S2,32 MA,4001,8
1140,1140,S2,S2,32 MA,400005,1
1140,1140,S2,S2,32 MA,400027,2
1140,1140,S2,S2,32 MA,400299,2
1140,1140,S2,S2,32 MA,400311,5
1140,1140,W1,W1,32 MA,400003,11
1140,1140,W1,W1,32 MA,400006,2
1140,1140,W1,W1,32 MA,400038,3
1140,1140,W1,W1,32 MA,400075,4
1140,1140,W1,W1,32 SA,400038,2
1140,1140,W1,W1_1,32 MA,400081,1
1140,1140,W1,W1_1,32 MA,400241,1
1140,1140,W1,W1_1,32 SA,400221,1
1140,1140,N1,N1,32 MA,400020,3
1140,1140,N1,N1,32 MA,400021,7
1140,1140,N1,N1,32 MA,400058,2
1140,1140,N1,N1,32 MA,400076,1
1140,1140,N1,N1,32 MA,400286,4
1140,1140,N1,N1,32 MA,400304,4
1140,1140,N1,N1,32 MA,400335,2
1140,1140,S3,S3,32 MA,400061,1
1140,1140,N2,N2,32 MA,400121,3
1140,1140,W2,W2,32 MA,400295,2
1140,1140,N3,N3,32 MA,400314,2
1140,1140,N3,N3,32 SA,400314,3
1160,1160,S1,S1_2,32 MA,4000,7
1160,1160,S1,S1_2,32 MA,4003,1
1160,1160,S1,S1,18 FT,400031,16
1160,1160,S1,S1_1,18 FT,400073,3
1160,1160,S1,S1_1,18 FT,400074,8
1160,1160,S1,S1_1,18 FT,400171,4
1160,1160,S1,S1_1,32 MA,400078,8
1160,1160,S2,S2_1,18 FT,4001,8
1160,1160,S2,S2,18 FT,400186,11
1160,1160,W2,W2,32 MA,104687,4
1160,1160,W1,W1,32 SA,400006,3
1160,1160,W1,W1,32 SA,400034,1
1160,1160,W1,W1,32 SA,400182,3
1160,1160,W1,W1,32 SA,400191,6
1160,1160,W1,W1,32 MA,400034,3
1160,1160,W1,W1,32 MA,400191,2
1160,1160,W1,W1_1,32 SA,400331,6
1160,1160,S3,S3,18 FT,400060,3
1160,1160,N1,N1,32 SA,400077,6
1160,1160,N1,N1,32 SA,400211,11
1160,1160,N1,N1,32 SA,400323,3
1160,1160,N2,N2,32 MA,400121,1
1160,1160,N2,N2,32 MA,400303,21
1150/1180,1150,S8,S8,32 MA,4000,10
1150/1180,1150,S8,S8,32 MA,4003,10
1150/1180,1150,S8,S8,32 MA,400031,5
1150/1180,1150,S8,S8,32 MA,400078,1
1150/1180,1150,S8,S8,18 FT,400024,1
1150/1180,1150,S8,S8,18 FT,400063,1
1150/1180,1150,S7,S7_1,32 MA,4001,3
1150/1180,1150,S7,S7,32 MA,400311,4
1150/1180,1150,W4,W4,32 MA,104687,2
1150/1180,1150,W4,W4,32 MA,400066,1
1150/1180,1150,W4,W4,32 MA,400295,2
1150/1180,1150,N4,N4,32 MA,104932,3
1150/1180,1150,N4,N4,32 MA,400020,1
1150/1180,1150,N4,N4,32 MA,400021,7
1150/1180,1150,N4,N4,32 MA,400057,2
1150/1180,1150,N4,N4,32 MA,400058,1
1150/1180,1150,N4,N4,32 MA,400059,2
1150/1180,1150,N4,N4,32 MA,400286,2
1150/1180,1150,N4,N4,32 MA,400335,2
1150/1180,1150,N4,N4,32 SA,400057,1
1150/1180,1150,N4,N4_1,32 MA,400126,1
1150/1180,1150,N5,N5,32 MA,400011,1
1150/1180,1150,W3,W3,32 MA,400034,1
1150/1180,1150,W3,W3,32 MA,400038,3
1150/1180,1150,W3,W3,32 MA,400075,2
1150/1180,1150,W3,W3,32 MA,400191,1
1150/1180,1150,W3,W3,32 MA,400329,3
1150/1180,1150,W3,W3_1,32 MA,400350,2
1150/1180,1150,E3,E3,32 MA,400035,5
1150/1180,1150,S6,S6,32 MA,400061,1
1150/1180,1150,E4,E4,32 MA,400062,1
1150/1180,1150,E4,E4,32 MA,400307,1
1150/1180,1180,S8,S8,32 MA,4000,1
1150/1180,1180,S8,S8,18 FT,400074,2
1150/1180,1180,S8,S8,18 FT,400171,5
1150/1180,1180,N4,N4,32 MA,400021,2
