key
1110 - S9 - S9_1 - 18 FT - 3
1110 - E2 - E2 - 18 FT - 2
1110 - S2 - S2 - 32 MA - 2
1120 - S4 - S4_1 - 32 MA - 2
1120 - S9 - S9_2 - 18 FT - 4
1130 - S9 - S9_3 - 18 FT - 6
1130 - S5 - S5_1 - 32 MA - 1
1130 - E6 - E6 - 18 FT - 1
1130 - E6 - E6_1 - 18 FT - 2
1140 - S9 - S9_4 - 18 FT - 4
1140 - N2 - N2 - 18 FT - 1
1140 - E2 - E2 - 18 FT - 1
1140 - S2 - S2 - 32 MA - 2
1160 - S9 - S9_6 - 18 FT - 6
1160 - S2 - S2 - 32 MA - 2
1160 - N2 - N2 - 18 FT - 1
1160 - E2 - E2 - 18 FT - 3
1150/1180 - S9 - S9_5 - 18 FT - 19
1150/1180 - N5 - N5 - 18 FT - 1
1150/1180 - E4 - E4 - 18 FT - 3
1170/1190 - S9 - S9_7 - 18 FT - 7
1170/1190 - E2 - E2 - 18 FT - 2

