Plant,Cluster,SubCluster,TruckType,Transporter,PercShare,TotalShare,FinalPerShare,Supply,count
1110,E1,E1,32 MA,ANAND,6,18,0.333333333,4,0
1110,E1,E1,32 MA,DGFC,12,18,0.666666667,8,0
1110,E2,E2,32 MA,ANAND,24,30,0.8,8,0
1110,E2,E2,32 MA,KAPOOR,6,30,0.2,2,0
1110,N1,N1,32 MA,APML,5,20,0.25,1,0
1110,N1,N1,32 MA,DRS,10,20,0.5,1,0
1110,N1,N1,32 MA,EAST INDIA,5,20,0.25,1,0
1110,N2,N2,32 MA,APML,5,23,0.217391304,2,0
1110,N2,N2,32 MA,DRS,18,23,0.782608696,7,0
1110,N3,N3,32 MA,APML,5,15,0.333333333,4,0
1110,N3,N3,32 MA,DRS,10,15,0.666666667,8,0
1110,S1,S1,18 FT,GBL,40,95,0.421052632,3,0
1110,S1,S1,18 FT,KTC,30,95,0.315789474,3,0
1110,S1,S1,18 FT,MEGA,25,95,0.263157895,2,0
1110,S1,S1,32 MA,CHINNA,5,5,1,12,0
1110,S1,S1_1,18 FT,GBL,15,45,0.333333333,1,0
1110,S1,S1_1,18 FT,ILAN,30,45,0.666666667,1,0
1110,S1,S1_1,32 MA,CHINNA,10,10,1,11,0
1110,S1,S1_2,18 FT,DEVAKI,80,120,0.666666667,40,0
1110,S1,S1_2,18 FT,CHINNA,40,120,0.333333333,20,0
1110,S2,S2,18 FT,GBL,12,30,0.4,4,0
1110,S2,S2,18 FT,KTC,12,30,0.4,4,0
1110,S2,S2,18 FT,MEGA,6,30,0.2,2,0
1110,S2,S2_1,32 MA,ANAND,10,30,0.333333333,5,0
1110,S2,S2_1,32 MA,EXPRESS,10,30,0.333333333,5,0
1110,S2,S2_1,32 MA,MEGA,10,30,0.333333333,5,0
1110,S3,S3,18 FT,RCI,40,40,1,6,0
1110,S3,S3,32 MA,EXPRESS,5,5,1,4,0
1110,W1,W1,32 MA,APML,10,20,0.5,2,0
1110,W1,W1,32 MA,EAST INDIA,5,20,0.25,1,0
1110,W1,W1,32 MA,MEGA,5,20,0.25,1,0
1110,W2,W2,32 MA,RCI,7,7,1,3,0
1120,E5,E5,32 MA,DGFC,12,30,0.4,5,0
1120,E5,E5,32 MA,KAPOOR,10,30,0.333333333,4,0
1120,E5,E5,32 MA,KTC,8,30,0.266666667,3,0
1120,N7,N7,32 MA,DGFC,6,93,0.064516129,2,0
1120,N7,N7,32 MA,DRS,23,93,0.247311828,4,0
1120,N7,N7,32 MA,EAST INDIA,5,93,0.053763441,1,0
1120,N7,N7,32 MA,LGB,17,93,0.182795699,3,0
1120,N7,N7,32 MA,MAHAVEERA,12,93,0.129032258,3,0
1120,N7,N7,32 MA,RCI,10,93,0.107526882,2,0
1120,N7,N7,32 MA,SWASTIK,11,93,0.11827957,2,0
1120,N7,N7,32 MA,VARUNA,9,93,0.096774194,2,0
1120,N7,N7,32 SA,EAST INDIA,13,89,0.146067416,7,0
1120,N7,N7,32 SA,LGB,6,89,0.06741573,3,0
1120,N7,N7,32 SA,NSTCL,50,89,0.561797753,24,0
1120,N7,N7,32 SA,RCI,10,89,0.112359551,5,0
1120,N7,N7,32 SA,VARUNA,10,89,0.112359551,5,0
1120,N7,N7_1,32 MA,DRS,1,11,0.090909091,1,0
1120,N7,N7_1,32 MA,LGB,1,11,0.090909091,1,0
1120,N7,N7_1,32 MA,RCI,2,11,0.181818182,1,0
1120,N7,N7_1,32 MA,SWASTIK,4,11,0.363636364,1,0
1120,N7,N7_1,32 MA,VARUNA,3,11,0.272727273,1,0
1120,N7,N7_1,32 SA,VARUNA,2,4,0.5,0,0
1120,N7,N7_1,32 SA,EAST INDIA,2,4,0.5,0,0
1120,S4,S4,32 MA,MEGA,6,24,0.25,4,0
1120,S4,S4,32 MA,EXPRESS,18,24,0.75,12,0
1120,S4,S4_1,18 FT,EAST INDIA,36,78,0.461538462,35,0
1120,S4,S4_1,18 FT,KTC,24,78,0.307692308,23,0
1120,S4,S4_1,18 FT,VARUNA,18,78,0.230769231,18,0
1120,S4,S4_2,18 FT,EAST INDIA,18,99,0.181818182,0,0
1120,S4,S4_2,18 FT,KTC,36,99,0.363636364,0,0
1120,S4,S4_2,18 FT,MEGA,9,99,0.090909091,0,0
1120,S4,S4_2,18 FT,RCI,18,99,0.181818182,0,0
1120,S4,S4_2,18 FT,VARUNA,18,99,0.181818182,0,0
